id,rating,genre,theater_date,box_office,runtime,studio
1071,R,Drama,"Feb 25, 2004",368000000.0,127.0,Newmarket Film Group
1136,PG-13,Action and Adventure|Science Fiction and Fantasy,"Dec 14, 2012",303001229.0,170.0,Warner Bros.
1525,PG-13,Action and Adventure|Mystery and Suspense,"Nov 9, 2012",299300000.0,145.0,MGM
883,PG-13,Comedy,"Dec 22, 2004",279167575.0,118.0,Universal Pictures
1442,PG,Kids and Family|Science Fiction and Fantasy,"Nov 15, 2002",261835892.0,161.0,Warner Bros. Pictures
1255,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,"May 7, 2009",257704099.0,127.0,IMAX
661,PG,Comedy|Romance,"Apr 19, 2002",241250669.0,95.0,IFC Films
841,PG-13,Action and Adventure|Science Fiction and Fantasy,"Jun 29, 2005",234141872.0,117.0,Paramount Pictures
1877,PG-13,Action and Adventure|Comedy|Drama,"Jun 16, 2008",227946274.0,92.0,Columbia Pictures
1600,PG-13,Action and Adventure|Science Fiction and Fantasy,"May 2, 2003",214813155.0,134.0,20th Century Fox
1722,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Apr 29, 2011",209805005.0,131.0,Universal Pictures
1295,PG,Science Fiction and Fantasy,"May 30, 2014",190871149.0,97.0,Walt Disney Pictures
1585,PG-13,Comedy|Romance,"Feb 11, 2005",177575142.0,120.0,Sony Pictures
1695,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Jul 23, 2004",176049130.0,108.0,Universal Pictures
1446,PG-13,Comedy,"Oct 6, 2000",164454835.0,108.0,Universal Pictures
443,PG-13,Action and Adventure|Science Fiction and Fantasy,"Jul 8, 2005",154485963.0,123.0,20th Century Fox
1381,R,Comedy|Romance,"Jun 1, 2007",148734225.0,129.0,Universal
1288,PG,Comedy,"Jan 16, 2009",146336178.0,91.0,Sony Pictures/Columbia Pictures
1935,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,"Jul 16, 2004",144738046.0,115.0,20th Century Fox
321,R,Comedy,"Feb 7, 2013",134455175.0,111.0,Universal Pictures
57,R,Comedy,"Nov 21, 2012",132088910.0,122.0,The Weinstein Company
218,PG-13,Drama|Horror|Mystery and Suspense|Romance,"Oct 18, 2002",128579698.0,115.0,DreamWorks SKG
65,PG,Comedy|Kids and Family|Romance,"Nov 21, 2007",127706877.0,108.0,Walt Disney Pictures
1017,PG-13,Drama|Science Fiction and Fantasy|Romance,"Dec 25, 2008",127490802.0,166.0,Paramount
1535,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Jun 6, 2003",127083765.0,108.0,Universal Pictures Distributio
488,PG,Animation|Comedy|Kids and Family,"Nov 2, 2007",126597121.0,90.0,Paramount Pictures
1601,PG,Action and Adventure|Animation|Kids and Family,"Mar 4, 2011",123188232.0,107.0,Paramount Pictures
433,PG-13,Action and Adventure|Mystery and Suspense,"Jun 14, 2002",121500000.0,117.0,Universal Pictures
1512,R,Action and Adventure|Drama|Mystery and Suspense|Science Fiction and Fantasy,"Jun 1, 1990",119000000.0,113.0,
1223,PG-13,Comedy|Drama|Romance,"Jun 1, 2006",118683135.0,107.0,Universal Pictures
1320,R,Drama,"Nov 8, 2002",116638030.0,111.0,Universal Pictures
1114,R,Comedy|Drama,"Jul 21, 2017",115088305.0,122.0,Universal Pictures
564,PG,Action and Adventure|Animation|Comedy,"Nov 21, 2008",114053579.0,96.0,Walt Disney Pictures
1376,PG-13,Comedy,"Oct 9, 2009",109176215.0,107.0,Universal Pictures
667,PG,Animation|Kids and Family,"May 20, 2016",107506776.0,95.0,Sony Pictures
1418,G,Action and Adventure|Animation|Comedy|Drama|Kids and Family,"Jun 21, 2000",106604314.0,85.0,
1038,PG-13,Comedy|Drama|Romance,"Feb 7, 2003",105765605.0,115.0,Paramount Pictures
567,PG-13,Comedy,"Dec 22, 2017",104880310.0,,
783,R,Action and Adventure|Mystery and Suspense,"Aug 13, 2010",102981571.0,103.0,Lionsgate Films
1494,R,Drama|Mystery and Suspense,"Dec 20, 2011",102515793.0,157.0,Sony Pictures
23,R,Drama,"Dec 20, 2013",99165609.0,129.0,Sony Pictures
1944,PG-13,Action and Adventure|Comedy|Science Fiction and Fantasy,"Jan 14, 2011",98000000.0,119.0,Sony Pictures
1890,R,Animation|Comedy,"Aug 12, 2016",97661826.0,89.0,Sony Pictures
1711,G,Comedy|Kids and Family,"Aug 11, 2004",95111012.0,113.0,
99,PG-13,Comedy|Romance,"Dec 20, 2002",93300000.0,102.0,Warner Bros.
1317,PG-13,Comedy|Drama|Romance,"Jul 20, 2001",93008426.0,103.0,Columbia Pictures
1884,PG-13,Comedy,"Apr 14, 2006",90672025.0,83.0,Weinstein Co.
940,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Sep 23, 2005",89602378.0,98.0,Touchstone Pictures
611,R,Drama|Mystery and Suspense,"Oct 8, 2003",88800000.0,137.0,WB
1932,PG-13,Comedy|Drama|Romance,"Mar 10, 2006",88658172.0,96.0,Paramount Pictures
1092,PG-13,Drama|Mystery and Suspense,"Dec 25, 2008",82989109.0,120.0,MGM
491,PG,Comedy|Kids and Family,"Dec 21, 2005",82468131.0,93.0,20th Century Fox
1718,PG-13,Drama,"Nov 25, 2015",81157671.0,132.0,Warner Bros.
1341,PG,Action and Adventure|Comedy|Kids and Family,"Jan 18, 2002",81110575.0,99.0,Buena Vista Distribution Compa
300,PG-13,Drama,"Aug 13, 2010",80574010.0,133.0,Sony Pictures
862,PG-13,Comedy,"Jul 13, 2006",75604320.0,109.0,Universal Pictures
1777,R,Action and Adventure|Drama|Mystery and Suspense,"Nov 21, 2007",74223625.0,122.0,Miramax Films
1424,PG-13,Action and Adventure|Horror|Kids and Family|Science Fiction and Fantasy,"Mar 9, 2012",73058679.0,118.0,Walt Disney Pictures
182,PG,Action and Adventure|Comedy|Kids and Family,"Jan 16, 2009",73023275.0,100.0,Dreamworks Pictures
1968,PG,Comedy|Drama,"Dec 23, 2011",72700000.0,126.0,20th Century Fox
1305,PG,Animation|Comedy|Kids and Family,"Aug 4, 2006",72601713.0,90.0,Paramount Pictures
418,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Feb 20, 2008",72266306.0,90.0,Sony Pictures Releasing
1182,PG,Documentary|Musical and Performing Arts,"Oct 28, 2009",71844424.0,121.0,Sony Pictures/Columbia Pictures
160,PG-13,Action and Adventure|Drama,"Dec 8, 2000",67771442.0,124.0,Columbia Pictures
610,PG-13,Action and Adventure|Mystery and Suspense|Romance,"Dec 10, 2010",67631157.0,103.0,Columbia Pictures
1243,PG-13,Drama,"Jan 14, 2005",67169549.0,136.0,Paramount Pictures
1383,PG,Animation|Comedy|Kids and Family,"Dec 18, 2015",66580191.0,86.0,20th Century Fox
1140,R,Comedy|Documentary,"Oct 25, 2002",64209101.0,84.0,Paramount Pictures
153,PG,Comedy|Kids and Family,"Mar 19, 2010",64001297.0,93.0,20th Century Fox
714,R,Comedy,"Jun 26, 2015",63883740.0,120.0,Universal Pictures
290,R,Action and Adventure|Drama,"Jul 28, 2006",63400000.0,132.0,Universal Pictures
1922,PG-13,Comedy,"Jul 14, 2006",58255287.0,90.0,Sony Pictures Releasing
1496,PG-13,Drama|Romance,"Dec 16, 2005",57000000.0,105.0,Sony Pictures
458,PG-13,Comedy|Romance,"Jun 10, 2011",55400000.0,94.0,Sony Pictures Classics
234,PG-13,Action and Adventure|Drama,"Sep 29, 2006",54983983.0,15.0,Buena Vista Pictures
715,R,Drama|Mystery and Suspense,"Sep 28, 2001",54218420.0,110.0,20th Century Fox
452,PG,Action and Adventure|Animation|Science Fiction and Fantasy,"Mar 23, 2007",54132596.0,86.0,Warner Bros. Pictures
61,R,Action and Adventure|Drama|Horror|Mystery and Suspense,"Feb 10, 2006",54100000.0,93.0,New Line Cinema
1588,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Oct 20, 2006",53100000.0,130.0,
1014,PG,Comedy|Drama|Romance,"May 14, 2010",53021560.0,105.0,Summit Entertainment
673,PG,Drama,"Oct 24, 2003",52277485.0,109.0,Sony Pictures Entertainment
782,R,Comedy|Drama,"Dec 1, 2017",52000189.0,115.0,Fox Searchlight Pictures
301,PG-13,Drama|Mystery and Suspense,"Mar 12, 2004",47781388.0,95.0,Columbia Pictures
456,R,Action and Adventure|Horror,"Apr 21, 2006",46982632.0,125.0,Sony Pictures
1077,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,"Jun 11, 1993",45299680.0,126.0,
1083,PG-13,Comedy|Drama|Romance,"Nov 25, 2011",44667095.0,100.0,The Weinstein Company
1183,R,Comedy|Drama|Romance,"Sep 26, 2003",44566004.0,102.0,Focus Features
504,PG,Comedy,"Jun 11, 2004",44478018.0,86.0,Fox Searchlight Pictures
1210,PG-13,Comedy|Drama|Romance,"Jul 29, 2005",43800000.0,98.0,Warner Bros. Pictures
124,PG-13,Action and Adventure|Science Fiction and Fantasy,"Jul 12, 2002",42929971.0,101.0,Buena Vista Distribution Compa
1011,R,Horror,"Aug 12, 2011",42500000.0,92.0,Warner Bros.
357,PG,Action and Adventure|Animation|Comedy|Kids and Family,"Nov 20, 2009",42194060.0,91.0,Sony Pictures/TriStar Pictures
1435,PG-13,Comedy,"Feb 8, 2008",42168445.0,114.0,Universal Pictures
1945,PG,Comedy,"Apr 13, 2012",41800000.0,92.0,20th Century Fox
1677,PG,Comedy|Drama|Kids and Family,"Sep 19, 2003",41407470.0,107.0,New Line Cinema
10,PG-13,Comedy,"Jan 11, 2002",41032915.0,82.0,Paramount Pictures
1598,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Oct 17, 2008",40632110.0,100.0,20th Century Fox
468,PG-13,Comedy|Drama,"Sep 14, 2001",39697363.0,115.0,Paramount Pictures
1785,R,Action and Adventure|Horror|Mystery and Suspense,"Mar 15, 2002",39532308.0,100.0,Columbia Tristar Pictures
1542,R,Horror|Mystery and Suspense,"Oct 6, 2006",39418953.0,84.0,New Line Cinema
771,PG-13,Comedy,"Jan 25, 2008",38200000.0,84.0,20th Century Fox
1690,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,"Nov 27, 2002",38120554.0,95.0,Buena Vista Distribution Compa
1517,PG,Comedy|Television,"Oct 13, 2006",37442180.0,115.0,Universal Pictures
158,PG-13,Drama|Sports and Fitness,"Dec 11, 2009",37431431.0,134.0,Warner Bros. Pictures
281,R,Comedy|Western,"May 30, 2014",37331031.0,116.0,Universal Pictures
1962,PG-13,Comedy|Drama,"Sep 12, 2003",36873198.0,116.0,Warner Bros. Pictures
1006,R,Action and Adventure|Drama|Mystery and Suspense,"Sep 14, 2007",36800000.0,122.0,Warner Bros. Pictures
572,PG-13,Action and Adventure|Comedy|Drama,"Jan 17, 2003",35764982.0,91.0,Sony Pictures
77,PG-13,Comedy|Drama,"Jul 1, 2011",35565975.0,99.0,Universal Pictures
1682,PG-13,Drama,"Feb 9, 2018",35003216.0,120.0,
267,R,Comedy,"Sep 21, 2007",35000629.0,101.0,Lionsgate Films
1859,R,Action and Adventure|Drama,"Feb 28, 2003",34600000.0,99.0,Warner Bros.
976,R,Drama,"Jan 9, 2004",34187787.0,109.0,Newmarket Film Group
1996,R,Action and Adventure|Horror|Mystery and Suspense,"Aug 18, 2006",33886034.0,106.0,New Line Cinema
1561,R,Comedy,"Aug 23, 2013",33408732.0,109.0,Focus Features
1644,PG-13,Action and Adventure|Drama|Western,"Jan 1, 1985",33200000.0,133.0,
